AM - I-35 @ E Lincoln Way (08),42.022869,-93.571731
AM - I-35 @ E 13th St (09),42.034328,-93.570231
AM - I-35 @ E 190th St (10),42.078,-93.566503
NV - US 30 @ 580th Ave (01),42.008503,-93.541113
NV - US 30 @ 600th Ave (02),42.008581,-93.501636
NV - US 30 @ SW 4th St (03),42.006236,-93.465303
NV - US 30 @ S 11th St (04),42.005456,-93.444603
NV - US 30 @ 19th St (05),42.008381,-93.434794
AM - US 30 @ S Dayton Ave (18),42.006272,-93.586508
AM - US 30 @ S Duff Ave (17),42.004697,-93.610481
AM - US 30 @ University Blvd (16),42.002675,-93.639856
AM - US 30 @ MIle Post 142 (11),42.022653,-93.724367
AM - US 30 @ 500th Ave (12),42.014856,-93.698778
AM - US 30 @ S Dakota Ave (13),42.008072,-93.678856
AM - US 30 @ 520th Ave (14),42.007239,-93.659033
AM - US 30 @ Mile Post 147 (15),42.00335,-93.646139
BN - US 30 @ Quill Ave(02),42.03445,-93.850197
BN - US30 @ IA 17 (03),42.034339,-93.815578
BN - US30 @ Mile Post 139 (04),42.027817,-93.793914
BN - US30 @ U Ave(05),42.023047,-93.776964
AM - US 30 @ Mile Post 152 (19),42.008233,-93.560122
DM - IA 415 @ Mile Long Bridge (66),41.764977,-93.730106
CR - I-380 @ US 30- North (05),41.930165,-91.669566
CR - I-380 @ 33rd Ave SW (06),41.944975,-91.670522
CR - I-380 @ Wilson Ave SW (07),41.956028,-91.670873
CR - I-380 @ Diagonal Dr SW (08),41.967722,-91.670737
CR - I-380 @ 1st Ave SW (09),41.975675,-91.675767
CR - I-380 @ 4th St SE (10),41.979985,-91.669504
CR - I-380 @ 8th St NE (11),41.983606,-91.663952
CR - I-380 @ H Ave NE (12),41.995566,-91.666557
CR - I-380 @ Coldstream Ave NE (13),42.006603,-91.666276
CR - I-380 @ 32nd St NE (14),42.012155,-91.66644
CR - I-380 @ 42nd St NE (15),42.02179,-91.668711
CR - I-380 @ Collins Rd- South (16),42.028188,-91.672703
CR - I-380 @ Collins Rd- North (17),42.028292,-91.673271
CR - I-380 @ Blairs Ferry Rd NE (18),42.034942,-91.676244
CR - I-380 @ Boyson Rd (19),42.045618,-91.684148
CR - I-380 @ Tower Terrace Rd (20),42.058688,-91.700186
CR - I-380 @ County Home Rd (21),42.092074,-91.701923
CR - US 30 @ 16th Ave SW (22),41.963126,-91.781595
CR - US 30 @ Stoney Point Rd (23),41.94873,-91.75525
CR - US 30 @ Williams Blvd SW (24),41.945301,-91.74173
CR - US 30 @ Edgewood Rd SW (25),41.938432,-91.715875
CR - US 30 @ 21st St SW (26),41.935867,-91.705747
CR - US 30 @ W of 6th St SW (27),41.929825,-91.683914
CR - US 30 @ J St SW (28),41.926675,-91.663188
CR - US 30 @ Kirkwood Blvd SW (29),41.926491,-91.656562
CR - US 30 @ C St SW (30),41.926356,-91.637031
CR - US 30 @ Ivanhoe Rd SW (31),41.926337,-91.617546
CR - US 30 @ Honey Grove Rd (32),41.926822,-91.603394
CR - US 30 @ E of Jappa Rd (33),41.924906,-91.569904
CR - US 30 @ IA 13 (34),41.926796,-91.542331
CR - IA 100 @ Edgewood Rd NE (35),42.029509,-91.701147
CR - IA 100 W of I-380 (36),42.027962,-91.688456
CR - Collins Rd @ Council St NE (37),42.028238,-91.658098
CR - Collins Rd @ Rockwell Dr NE (38),42.028549,-91.649128
CR - Collins Rd @ F Ave NE (39),42.02846,-91.643666
CR - Collins Rd @ C Ave NE (40),42.028101,-91.638939
CR - Collins Rd @ Mall Entrance (41),42.027876,-91.628137
CR - Collins Rd @ 1st Ave E (42),42.025595,-91.621109
CR - IA 100 @ Tama St (43),42.019499,-91.617667
CR - IA 100 @ Menards Ln (44),42.016139,-91.608465
CR - IA 100 @ E Post Rd (45),42.015534,-91.599396
CR - IA 100 @ S 22nd St (46),42.01527,-91.588579
CR - IA 100 @ IA 13 (47),42.019718,-91.550485
CR - IA 13 @ Bertram Rd (48),41.959099,-91.555525
CR - IA 13 @ Mt Vernon Rd (49),41.976098,-91.551414
CR - IA 13 @ Cottage Grove Pkwy (50),41.994883,-91.550868
CR - IA 13 @ Linn Aire Dr (51),42.031399,-91.550524
CR - IA 13 @ 7th Ave (52),42.035706,-91.550633
WL - I-380 @ N of US 20 (19),42.460889,-92.313856
WL - US 218 @ San Marnan Dr (20),42.469044,-92.318461
WL - US 218 @ N of San Marnen Dr (21),42.47426,-92.321803
WL - US 218 @ Hawthorn (22),42.481308,-92.323383
WL - US 218 @ Williston Rd (23),42.483736,-92.328611
WL - US 218 @ E. 11th St (24),42.488552,-92.334652
WL - US 218 @ W 8th St (25),42.491568,-92.339275
WL - US 218 @ W 1st St (26),42.496107,-92.346054
WL - US 218 @ Sergeant Rd (27),42.500007,-92.362545
DM - I-35 @ NE Mixmaster (North) (69),41.660146,-93.576003
DM - I-80 E Exit to N I-35 (67),41.5925,-93.773596
DM - I-35/80 @ Westown PKWY (68),41.595112,-93.778778
IWZ-Test,0.0,0.0
DM - I-80 @ Ashworth Rd (70),41.585176,-93.822048
CB - IA 92 @ Harry Langdon (IWZ 3134),41.226955,-95.825253
DM - I-235 @ University (71),41.600847,-93.584465
SC - I-29 @ South of RR Bridge (28),42.462083,-96.379582
DM - I-235 @ 42nd WSM (72),41.591974,-93.764712
Q-Vision Test,44.033608,-91.37931
CB - I-29 @ Weigh Station (43),41.51287,-95.911634
MUS - US 61 @ MM 72.25 (IWZ 3146),41.250475,-91.196828
DM - I-80/35 @ E of Morningstar (IWZ 3158),41.650116,-93.646637
QC - I-280 SB @ MM 0.9 (IWZ 3144),0.0,0.0
I-80 &amp; R-22 (DMTT),0.0,0.0
CB - I-29 @ RR Crossing (44),41.205565,-95.824377
DM - IA 92 WB @ Martensdale (IWZ 3154),41.370891,-93.73892
CE- Evansdale Recycling Center (01),42.479019,-92.290227
CE- Evansdale Angle&apos;s Park (03),42.462712,-92.291212
DM - I-35 @ MM 63 (IWZ 3153),41.453005,-93.779642
AM - I-35 @ North of 260th St (IWZ 3152),41.982425,-93.570251
DM - I-80/35 @ W of Morningstar (IWZ 3112),41.650142,-93.65957
D5 - US 61 @ 260th St (IWZ 3156_136),0.0,0.0
DM - I-35 @ MM 59.35 (IWZ 3113),41.40031,-93.780899
D3 - US 75 @ Co Rd 38 (IWZ 3142),42.75328,-96.209536
D3 - US 75 @ Merrill (IWZ 3105),42.72276,-96.24485
DM - I-80 @ Hwy F48 (DMTT02_West),0.0,0.0
DM - I-80 @ Hwy F48 (DMTT02_East),0.0,0.0
DM - I-80 @ W of IA 117 (DMTT07_West),0.0,0.0
DM - I-80 @ W of IA 117 (DMTT07_East),0.0,0.0
CB - I-29 @ I-80 EB Ramp (45),41.237048,-95.900106
CB - I-80 @ West I-29 Interchange (02),41.232725,-95.897103
CB - I-29/80 @ W of S 24th St (46),41.233034,-95.888454
CB - I-29/80 @ E of S 24th St (47),41.232853,-95.87833
CB - I-29/80 @ WB On Ramp S Expressway (48),41.232779,-95.863366
MUS - US 61 @ MM 72.25 (IWZ 3146_7602),0.0,0.0
D6 - US 20 MM 293 @ Dyersville - Live View (1),42.468086,-91.134214
